Topology ID,Sub Info,ONT FSAN,RG FSAN,RG MAC,Topology Type,Endpoint Mapping Option,,,,IP Address Family,Last Operation Type,Operation Time,Unmanaged ,IP Update Time
SOAK-NG-T1,SmallWall SOAK-NG-T1,CXNK002052B9,CXNK002052B9,EC:4F:82:0D:05:4D,Native,smallwallsoak-ng-t1,CXNK002052B9@soaktest.com,CXNK002052B9,,Dual Stack,,,FALSE,
SOAK-NG-T2,SmallWall SOAK-NG-T2,CXNK00670645,CXNK00670645,44:65:7F:86:F0:E3,Native,408-598-1407,44:65:7f:86:f0:e3,,,Dual Stack,,,FALSE,
SOAK-NG-T3,SmallWall SOAK-NG-T3,CXNK00670730,CXNK00670730,44:65:7F:86:F9:26,Native,SmallWall SOAK-NG-T3, CXNK00670730,,,Dual Stack,,,FALSE,
SOAK-NG-T4,SmallWall SOAK-NG-T4,CXNK0067073D,CXNK0067073D,44:65:7F:86:F9:9B,Native,CXNK0067073D,93101128-12,408-720-5891,"925 1st St, San Jose, California",Dual Stack,,,FALSE,
SOAK-NG-T5,SmallWall SOAK-NG-T5,CXNK0067074E,CXNK0067074E,44:65:7F:86:FA:34,Native,93101128-23,CXNK0067074E,,,IPv4,,,FALSE,
SOAK-NG-T6,SmallWall SOAK-NG-T6,CXNK00670757,CXNK00670757,44:65:7F:86:FA:85,Native,CXNK00670757,93101128-17,408-880-3940,"765 1st St, San Jose, California",IPv4,,,FALSE,
SOAK-NG-T7,SmallWall SOAK-NG-T7,CXNK00670759,CXNK00670759,44:65:7F:86:FA:97,Native,smallwallsoak-ng-t7,CXNK00670759@soaktest.com,CXNK00670759,,Dual Stack,,,FALSE,
SOAK-NG-T8,SmallWall SOAK-NG-T8,CXNK00670773,CXNK00670773,44:65:7F:86:FB:81,Native,4087088004,44:65:7F:86:FB:81,,,Dual Stack,,,FALSE,
SOAK-NG-T9,SmallWall SOAK-NG-T9,CXNK006708D4,CXNK006708D4,44:65:7F:87:07:EA,Native,CXNK006708D4,408-982-1785,,,Dual Stack,,,FALSE,
SOAK-NG-T10,SmallWall SOAK-NG-T10,CXNK006B4FA0,CXNK006B4FA0,44:65:7F:E2:FE:72,Native,SmallWall SOAK-NG-T10, CXNK006B4FA0,,,IPv4,,,FALSE,
SOAK-NG-T11,SmallWall SOAK-NG-T11,CXNK006B4FCC,CXNK006B4FCC,44:65:7F:E2:FF:FE,Native,SmallWall SOAK-NG-T11, CXNK006B4FCC,,,Dual Stack,,,FALSE,
SOAK-NG-T12,SmallWall SOAK-NG-T12,CXNK006B4FF0,CXNK006B4FF0,44:65:7F:E3:01:42,Native,SmallWall SOAK-NG-T12,CXNK006B4FF0,"730 1st St, San Jose, California",,Dual Stack,,,FALSE,
SOAK-NG-T13,SmallWall SOAK-NG-T13,CXNK006B4FF9,CXNK006B4FF9,44:65:7F:E3:01:93,Native,93101128-08,CXNK006B4FF9,,,Dual Stack,,,FALSE,
SOAK-NG-T14,SmallWall SOAK-NG-T14,CXNK006B4FFF,CXNK006B4FFF,44:65:7F:E3:01:C9,Native,CXNK006B4FFF,408-860-4973,,,Dual Stack,,,FALSE,
SOAK-NG-T15,SmallWall SOAK-NG-T15,CXNK006B5006,CXNK006B5006,44:65:7F:E3:02:08,Native,CXNK006B5006,408-381-5675,,,Dual Stack,,,FALSE,
